UniProt Accession,Gene Entrez ID
O14757,1111
O96017,11200
P00533,1956
P04626,2064
P54675,8619867
Q9I1H3,878274
Q02750,5604
P36507,5605
P11802,1019
Q00534,1021
P08069,3480
P08581,4233
Q9UM73,238
P08922,6098
P21860,2065
P30291,7465
P53350,5347
O80300,1261858
P10415,596
Q76LT7,403618
P09874,142
Q9UGN5,10038
O44001,-
P09619,5159
P10721,3815
Q8QHL3,374100
P42345,2475
P31749,207
P31751,208
P11362,2260
P21802,2263
P22607,2261
P27361,5595
P28482,5594
Q9H237,64840
P36897,7046
P36896,91
Q8NER5,130399
P15056,673
Q9D915,69068
P49840,2931
P49841,2932
P11387,7150
P00519,25
P12931,6714
P21709,2041
P04049,5894
P23458,3716
O60674,3717
Q13315,472
P06493,983
Q9NYY3,10769
Q9H4B4,1263
O14965,6790
Q96GD4,9212
Q9UQB9,6795
P42818,820020
Q13464,6093
O75116,9475
Q9Y243,10000
P42336,5290
P42338,5291
A0A060AEX2,-
Q9LDA4,826448
P45984,5601
Q13547,3065
O15379,8841
P25440,6046
Q15059,8019
O60885,23476
Q58F21,676
P28074,5693
P20618,5689
P07437,203068
P35916,2324
P35968,3791
P36888,2322
P07949,5979
P17948,2321
P23921,6240
P04818,7298
P30085,51727
O75469,8856
Q969P6,116447
Q9H4B7,81027
P27816,4134
P11137,4133
P10636,4137
P29317,1969
P06239,3932
P07947,7525
P51692,6777
P42684,27
P06241,2534
Q06187,695
Q92570,8013
P11274,613
P41240,1445
P54756,2044
P54760,2050
P09769,2268
P42685,2444
P11142,3312
P07948,4067
Q9NYL2,51776
Q16539,1432
Q06203,5471
Q9BY41,55869
Q92769,3066
Q9UBN7,10013
O67135,-
P57059,102724428; 150094
Q8NG66,79858
P53667,3984
Q15303,2066
Q9Y6F1,10039
Q92843,599
Q92934,572
P29372,4350
P01023,2
P02787,7018
O00244,475
